,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
184,2,20,0,0.2498794660766746,0.5666666666666667,0.5428571428571429,0.0458797251570778,0.2492838151903422,0.7666666666666667,0.7428571428571429,0.0007737541750584,iris,0.21
190,2,20,0,0.2498794660766746,0.5666666666666667,0.5428571428571429,0.0458797251570778,0.2492838151903422,0.7666666666666667,0.7428571428571429,0.0007737541750584,iris,0.21
210,2,20,0,0.249914560206474,0.5666666666666667,0.5428571428571429,0.049940772952614,0.2495131314991382,0.5666666666666667,0.6428571428571429,0.0009715203636751,iris,0.24
214,2,20,0,0.249914560206474,0.5666666666666667,0.5428571428571429,0.049940772952614,0.2495131314991382,0.5666666666666667,0.6428571428571429,0.0009715203636751,iris,0.24
234,2,20,0,0.2500470619904024,0.5333333333333333,0.5142857142857142,0.0127171308208457,0.2496233102219986,0.5333333333333333,0.5142857142857142,0.0009723012771553,iris,0.27
239,2,20,0,0.2500470619904024,0.5333333333333333,0.5142857142857142,0.0127171308208457,0.2496233102219986,0.5333333333333333,0.5142857142857142,0.0009723012771553,iris,0.27
260,2,20,0,0.2499615732937631,0.6,0.5571428571428572,0.049146858364509,0.2497264039899302,0.5333333333333333,0.5142857142857142,0.0010580874519317,iris,0.3
263,2,20,0,0.2499615732937631,0.6,0.5571428571428572,0.049146858364509,0.2497264039899302,0.5333333333333333,0.5142857142857142,0.0010580874519317,iris,0.3
13,2,20,1,0.1221155807188315,0.9333333333333333,0.5285714285714286,0.0257961646471017,0.0885357908488981,1.0,0.5285714285714286,8.932186942172113e-05,iris,0.0
22,2,20,1,0.1221155807188315,0.9333333333333333,0.5285714285714286,0.0257961646471017,0.0885357908488981,1.0,0.5285714285714286,8.932186942172113e-05,iris,0.0
38,2,20,1,0.2448699393677434,0.8333333333333334,0.5285714285714286,0.027342173472238,0.2306983429393464,0.9333333333333333,0.5285714285714286,9.254334049280128e-05,iris,0.03
46,2,20,1,0.2448699393677434,0.8333333333333334,0.5285714285714286,0.027342173472238,0.2306983429393464,0.9333333333333333,0.5285714285714286,9.254334049280128e-05,iris,0.03
63,2,20,1,0.2486739194957906,0.7333333333333334,0.5142857142857142,0.0462780263613677,0.2468604719490984,0.7333333333333334,0.5285714285714286,0.0003203223823217,iris,0.06
70,2,20,1,0.2486739194957906,0.7333333333333334,0.5142857142857142,0.0462780263613677,0.2468604719490984,0.7333333333333334,0.5285714285714286,0.0003203223823217,iris,0.06
87,2,20,1,0.2491578443297129,0.6666666666666667,0.5142857142857142,0.0499050950942532,0.2481869909170966,0.6333333333333334,0.5142857142857142,0.000587725786808,iris,0.09
95,2,20,1,0.2491578443297129,0.6666666666666667,0.5142857142857142,0.0499050950942532,0.2481869909170966,0.6333333333333334,0.5142857142857142,0.000587725786808,iris,0.09
112,2,20,1,0.2494186076329435,0.6333333333333334,0.5142857142857142,0.0485963270384407,0.248655821563212,0.6666666666666667,0.5142857142857142,0.0014703323173509,iris,0.12
120,2,20,1,0.2494186076329435,0.6333333333333334,0.5142857142857142,0.0485963270384407,0.248655821563212,0.6666666666666667,0.5142857142857142,0.0014703323173509,iris,0.12
